# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Thu Mar 28 17:39:31 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR1 G, G_BP and G_RP (Vegamags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: simulations of mass 1.0e4 Msun
# Z         age       Mini           Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471132  2.11e+07  0.2329169512   0.233 -1.660  3.4707  4.300    0  0.000  0.545     0.00     0.00 -1 -4.08e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.920 10.271 12.144 8.935
0.01471132  2.11e+07  1.2767430544   1.277  0.348  3.8085  4.382    0  0.000  0.538     0.00     0.00 -1 -9.72e-14      0.00 7.108e-01 2.744e-01 2.619e-03 7.152e-04 6.496e-03 -1.000 1.476e-02 3.900 3.761 4.000 3.377
0.01471132  2.11e+07  1.0358940363   1.036 -0.037  3.7342  4.380    0  0.000  0.538     0.00     0.00 -1 -6.91e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.498e-03 -1.000 1.477e-02 4.863 4.756 5.157 4.195
0.01471132  2.11e+07  0.1167930439   0.117 -2.112  3.4215  4.255    0  0.000  0.545     0.00     0.00 -1 -2.14e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 10.051 11.996 14.580 10.517
0.01471132  2.11e+07  0.1278021634   0.127 -2.054  3.4278  4.260    0  0.000  0.545     0.00     0.00 -1 -2.34e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.904 11.761 14.236 10.301
0.01471132  2.11e+07  2.8475522995   2.848  1.842  4.0864  4.348    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.107e-01 2.745e-01 2.620e-03 7.155e-04 6.498e-03 -1.000 1.477e-02 0.165 0.811 0.760 0.902
0.01471132  2.11e+07  0.1452682316   0.145 -1.968  3.4372  4.268    0  0.000  0.545     0.00     0.00 -1 -2.64e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 9.690 11.427 13.757 9.993
0.01471132  2.11e+07  0.6735996604   0.674 -0.933  3.5580  4.384    0  0.000  0.545     0.00     0.00 -1 -1.16e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 7.103 7.773 8.893 6.698
0.01471132  2.11e+07  0.2894094586   0.289 -1.521  3.4858  4.315    0  0.000  0.545     0.00     0.00 -1 -4.96e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.497e-03 -1.000 1.477e-02 8.573 9.772 11.466 8.483
0.01471132  2.11e+07  1.1083459854   1.108  0.201  3.7705  4.316    0  0.000  0.538     0.00     0.00 -1 -1.11e-13      0.00 7.107e-01 2.745e-01 2.620e-03 7.154e-04 6.497e-03 -1.000 1.477e-02 4.268 4.127 4.445 3.652
